페이지,기능명,설명
포커화면,대기상태,"1. 사이트에 접속하면 4인이 즐길 수 있는 포커화면이 표시된다.
2. 먼저 들어온 순서대로 최대 4명이 참여 가능하다.
3. 게임이 실행 중이 아닌 대기중 상태에서 각 플레이어는 Ready 버튼을 눌러야 Start 가 가능하다. 
4. 가장 먼저 들어온 플레이어는 방장이고 Start 할 수 있다.
5. 플레이어가 2명이상이고 모두 Ready이면 방장이 Start 할 수 있다. Start하면 포커게임이 시작된다. 게임중인 상태에서 새로운 사람이 입장하더라도 그 사람은 게임을 참가할 수 없다. 게임이 종료되어 대기상태가 되면 그때 참여 가능하다."
,게임상태,"1. 게임이 시작되면 방에 입장한 순서대로 턴이 변경된다.
2. 각 플레이어의 턴이 오면 Go, Die를 선택할 수 있다. Die하면 그 플레이어는 더이상 카드를 받지 않는다.
3. 모두 Go 또는 Die를 선택하면 카드를 추가로 받고 다음턴으로 진행된다.
4. 그 외에는 일반적인 포커 룰을 따른다.
5. 승자가 정해지면 게임은 끝나고 다시 대기상태로 변경된다."
