상태,기능명,내용
로그인 안 된 상태,파일 리스트 표시,"1. 드라이브에 있는 파일들을 표시한다.
2. 리스트 형태와 그리드 형태를 변경할 수 있다."
,파일 다운로드,특정 파일을 선택하고 다운로드 버튼을 누르면 다운로드 된다.
,파일 실행,"특정 파일을 선택하고 실행 버튼을 누르면 실행된다.
이미지 파일이면 브라우저에서 이미지가 표시된다. 
영상 파일이면 영상이 재생된다.
문서 파일이면 브라우저에서 문서가 표시된다.
실행 불가능한 파일이면 그냥 다운로드 된다."
,로그인,"1. 페이지 상단에 로그인 버튼이 있고 누르면 로그인 ID/PW를 입력 받는 다이얼로그가 표시된다.
2. 관리자 ID/PW를 입력하면 로그인 된다."
로그인 된 상태,파일 업로드,업로드 버튼이 표시되고 업로드 버튼을 누르면 파일을 등록할 수 있다.
,파일 수정,특정 파일을 선택하면 수정 버튼이 표시되고 수정 버튼을 누르면 파일 이름을 변경할 수 있다
,파일 삭제,특정 파일을 선택하면 삭제 버튼이 표시되고 삭제 버튼을 누르면 파일을 삭제한다.
,로그아웃,로그인 버튼이 로그아웃 버튼으로 변경되고 선택하면 로그아웃된다.
